name,family,case,qualifying,evidence,mod_class,unverified,batch,dataflow,reducer,cr_read,slc_mode,channels,dies_per_channel,planes_per_die,n_planes,tR_us,eff_tR_us,agg_tok_s,per_user_tok_s,tpot_ms,usd_per_Mtok,J_per_token,capex_usd,wall_W,sensed_GB_per_token,senses_per_token_M,macs_per_sense,raw_cap_TB,usable_cap_TB,hits_500_agg,hits_25_user,hits_0p10_dollar
znand-4TB|shiftadd+token|L4|B1|native,shiftadd+token,opt,True,L2,F2,,1,token,shiftadd,False,True,64,8,8,4096,3,3.0,18.4,18.4,54.3,1.099,7.45,1214,157,136.96,66.87,1558,4.1,2.05,False,False,False
znand-4TB|shiftadd+token|L4|B1|native,shiftadd+token,central,True,L2,F2,,1,token,shiftadd,False,True,64,8,8,4096,3,3.0,18.4,18.4,54.3,2.321,12.96,1746,259,136.96,66.87,1558,4.1,2.05,False,False,False
znand-4TB|shiftadd+token|L4|B1|native,shiftadd+token,adv,True,L2,F2,,1,token,shiftadd,False,True,64,8,8,4096,3,3.0,18.4,18.4,54.3,5.364,21.01,2668,407,136.96,66.87,1558,4.1,2.05,False,False,False
znand-4TB|shiftadd+token|L4|B1|fp8,shiftadd+token,opt,False,L2,F2,,1,token,shiftadd,False,True,64,8,8,4096,3,3.0,28.5,28.5,35.1,0.701,4.54,1214,150,83.13,40.59,2567,4.1,2.05,False,True,False
znand-4TB|shiftadd+token|L4|B1|fp8,shiftadd+token,central,False,L2,F2,,1,token,shiftadd,False,True,64,8,8,4096,3,3.0,28.5,28.5,35.1,1.477,7.9,1746,245,83.13,40.59,2567,4.1,2.05,False,True,False
znand-4TB|shiftadd+token|L4|B1|fp8,shiftadd+token,adv,False,L2,F2,,1,token,shiftadd,False,True,64,8,8,4096,3,3.0,28.5,28.5,35.1,3.411,12.81,2668,385,83.13,40.59,2567,4.1,2.05,False,True,False
znand-4TB|shiftadd+token|L4|B2|native,shiftadd+token,opt,True,L2,F2,,2,token,shiftadd,False,True,64,8,8,4096,3,3.0,29.1,14.5,68.7,0.686,4.44,1214,149,81.16,39.63,2629,4.1,2.05,False,False,False
znand-4TB|shiftadd+token|L4|B2|native,shiftadd+token,central,True,L2,F2,,2,token,shiftadd,False,True,64,8,8,4096,3,3.0,29.1,14.5,68.7,1.446,7.71,1746,244,81.16,39.63,2629,4.1,2.05,False,False,False
znand-4TB|shiftadd+token|L4|B2|native,shiftadd+token,adv,True,L2,F2,,2,token,shiftadd,False,True,64,8,8,4096,3,3.0,29.1,14.5,68.7,3.339,12.51,2668,384,81.16,39.63,2629,4.1,2.05,False,False,False
znand-4TB|shiftadd+token|L4|B2|fp8,shiftadd+token,opt,False,L2,F2,,2,token,shiftadd,False,True,64,8,8,4096,3,3.0,40.4,20.2,49.5,0.487,2.98,1214,141,54.25,26.49,3933,4.1,2.05,False,False,False
