profile,tR_us,page_kb,planes_per_die,die_cap_gb,channels,dies_per_channel,n_planes,capacity_TB,lanes,freq_mhz,ecc,batch,dense_fp8,ch_bw_gbps,tok_s,tpot_ms,J_per_token,bottleneck_expert,bottleneck_dense,sensed_GB_per_token,total_lanes
slc-z,1,2,8,8,32,8,2048,2.05,1,400.0,0.0,1,False,3.2,4.61,216.9,17.13,compute,compute,137.0,2048
slc-z,1,2,8,8,32,8,2048,2.05,1,400.0,0.0,1,True,3.2,5.379,185.9,10.45,compute,compute,83.1,2048
slc-z,1,2,8,8,32,8,2048,2.05,1,400.0,0.0,4,False,3.2,2.878,1389.7,6.7,compute,compute,52.9,2048
slc-z,1,2,8,8,32,8,2048,2.05,1,400.0,0.0,4,True,3.2,2.944,1358.7,5.03,compute,compute,39.5,2048
slc-z,1,2,8,8,32,8,2048,2.05,1,400.0,0.0,8,False,3.2,1.776,4503.2,4.87,compute,compute,38.2,2048
slc-z,1,2,8,8,32,8,2048,2.05,1,400.0,0.0,8,True,3.2,1.789,4472.2,4.04,compute,compute,31.4,2048
slc-z,1,2,8,8,32,8,2048,2.05,1,400.0,0.0,16,False,3.2,1.041,15364.7,3.81,compute,compute,29.6,2048
slc-z,1,2,8,8,32,8,2048,2.05,1,400.0,0.0,16,True,3.2,1.043,15333.6,3.39,compute,compute,26.2,2048
slc-z,1,2,8,8,32,8,2048,2.05,1,400.0,0.0,32,False,3.2,0.622,51409.0,3.03,compute,compute,23.3,2048
slc-z,1,2,8,8,32,8,2048,2.05,1,400.0,0.0,32,True,3.2,0.623,51378.0,2.82,compute,compute,21.6,2048
slc-z,1,2,8,8,32,8,2048,2.05,1,400.0,0.0,64,False,3.2,0.407,157135.7,2.27,compute,compute,17.2,2048
slc-z,1,2,8,8,32,8,2048,2.05,1,400.0,0.0,64,True,3.2,0.407,157104.7,2.17,compute,compute,16.4,2048
slc-z,1,2,8,8,32,8,2048,2.05,4,400.0,0.0,1,False,3.2,7.842,127.5,17.13,compute,sense,137.0,8192
slc-z,1,2,8,8,32,8,2048,2.05,4,400.0,0.0,1,True,3.2,11.551,86.6,10.45,compute,compute,83.1,8192
slc-z,1,2,8,8,32,8,2048,2.05,4,400.0,0.0,4,False,3.2,8.78,455.6,6.7,compute,compute,52.9,8192
slc-z,1,2,8,8,32,8,2048,2.05,4,400.0,0.0,4,True,3.2,9.421,424.6,5.03,compute,compute,39.5,8192
slc-z,1,2,8,8,32,8,2048,2.05,4,400.0,0.0,8,False,3.2,6.196,1291.1,4.87,compute,compute,38.2,8192
slc-z,1,2,8,8,32,8,2048,2.05,4,400.0,0.0,8,True,3.2,6.349,1260.1,4.04,compute,compute,31.4,8192
slc-z,1,2,8,8,32,8,2048,2.05,4,400.0,0.0,16,False,3.2,3.891,4112.5,3.81,compute,compute,29.6,8192
slc-z,1,2,8,8,32,8,2048,2.05,4,400.0,0.0,16,True,3.2,3.92,4081.5,3.39,compute,compute,26.2,8192
slc-z,1,2,8,8,32,8,2048,2.05,4,400.0,0.0,32,False,3.2,2.405,13307.7,3.03,compute,compute,23.3,8192
slc-z,1,2,8,8,32,8,2048,2.05,4,400.0,0.0,32,True,3.2,2.41,13276.7,2.82,compute,compute,21.6,8192
slc-z,1,2,8,8,32,8,2048,2.05,4,400.0,0.0,64,False,3.2,1.599,40026.9,2.27,compute,compute,17.2,8192
slc-z,1,2,8,8,32,8,2048,2.05,4,400.0,0.0,64,True,3.2,1.6,39995.9,2.17,compute,compute,16.4,8192
slc-z,1,2,8,8,32,8,2048,2.05,8,400.0,0.0,1,False,3.2,8.348,119.8,17.13,compute,sense,137.0,16384
slc-z,1,2,8,8,32,8,2048,2.05,8,400.0,0.0,1,True,3.2,13.26,75.4,10.45,compute,sense,83.1,16384
slc-z,1,2,8,8,32,8,2048,2.05,8,400.0,0.0,4,False,3.2,13.337,299.9,6.7,compute,compute,52.9,16384
slc-z,1,2,8,8,32,8,2048,2.05,8,400.0,0.0,4,True,3.2,14.875,268.9,5.03,compute,compute,39.5,16384
slc-z,1,2,8,8,32,8,2048,2.05,8,400.0,0.0,8,False,3.2,10.585,755.8,4.87,compute,compute,38.2,16384
slc-z,1,2,8,8,32,8,2048,2.05,8,400.0,0.0,8,True,3.2,11.038,724.8,4.04,compute,compute,31.4,16384
slc-z,1,2,8,8,32,8,2048,2.05,8,400.0,0.0,16,False,3.2,7.152,2237.2,3.81,compute,compute,29.6,16384
slc-z,1,2,8,8,32,8,2048,2.05,8,400.0,0.0,16,True,3.2,7.252,2206.1,3.39,compute,compute,26.2,16384
slc-z,1,2,8,8,32,8,2048,2.05,8,400.0,0.0,32,False,3.2,4.599,6957.5,3.03,compute,compute,23.3,16384
slc-z,1,2,8,8,32,8,2048,2.05,8,400.0,0.0,32,True,3.2,4.62,6926.5,2.82,compute,compute,21.6,16384
slc-z,1,2,8,8,32,8,2048,2.05,8,400.0,0.0,64,False,3.2,3.121,20508.7,2.27,compute,compute,17.2,16384
slc-z,1,2,8,8,32,8,2048,2.05,8,400.0,0.0,64,True,3.2,3.125,20477.7,2.17,compute,compute,16.4,16384
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,1,False,3.2,8.44,118.5,17.13,sense,sense,137.0,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,1,True,3.2,13.495,74.1,10.45,sense,sense,83.1,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,4,False,3.2,17.24,232.0,6.7,compute,sense,52.9,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,4,True,3.2,20.935,191.1,5.03,compute,compute,39.5,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,8,False,3.2,16.39,488.1,4.87,compute,compute,38.2,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,8,True,3.2,17.502,457.1,4.04,compute,compute,31.4,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,16,False,3.2,12.313,1299.5,3.81,compute,compute,29.6,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,16,True,3.2,12.614,1268.5,3.39,compute,compute,26.2,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,32,False,3.2,8.46,3782.4,3.03,compute,compute,23.3,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,32,True,3.2,8.53,3751.4,2.82,compute,compute,21.6,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,64,False,3.2,5.954,10749.6,2.27,compute,compute,17.2,32768
slc-z,1,2,8,8,32,8,2048,2.05,16,400.0,0.0,64,True,3.2,5.971,10718.6,2.17,compute,compute,16.4,32768
slc-z,1,2,8,8,32,8,2048,2.05,32,400.0,0.0,1,False,3.2,8.44,118.5,17.13,sense,sense,137.0,65536
slc-z,1,2,8,8,32,8,2048,2.05,32,400.0,0.0,1,True,3.2,13.495,74.1,10.45,sense,sense,83.1,65536
slc-z,1,2,8,8,32,8,2048,2.05,32,400.0,0.0,4,False,3.2,19.81,201.9,6.7,compute,sense,52.9,65536
